building_name,market,unit_name,unit_group,sqft,effective_price,date,leased_rate
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/11/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/12/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/13/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/14/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/15/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/16/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/17/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/18/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/19/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/20/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/21/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/22/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/23/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/24/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/25/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/26/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/27/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/28/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/29/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/30/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/31/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/01/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/02/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/03/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/04/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/05/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/06/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/07/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/08/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/09/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/10/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/11/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/12/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/13/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/14/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/15/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/16/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/17/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/18/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/19/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/20/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/21/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/22/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/23/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/24/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/25/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/26/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/27/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/28/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/29/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/30/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/01/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/02/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/03/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/04/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/05/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/06/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/07/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/08/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/09/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/10/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/11/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/12/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/13/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/14/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/15/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/16/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/17/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/18/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/19/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/20/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/21/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/22/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/23/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/24/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/25/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/26/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/27/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/28/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/29/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/30/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,10/31/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/01/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/02/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/03/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/04/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/05/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/06/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/07/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/08/2023,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,11/09/2023,True
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,02/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,03/31/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,04/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,05/31/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,06/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,07/31/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/08/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/09/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/10/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/11/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/12/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/13/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/14/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/15/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/16/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/17/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/18/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/19/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/20/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/21/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/22/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/23/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/24/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/25/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/26/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/27/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/28/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/29/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/30/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,08/31/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/01/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/02/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/03/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/04/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/05/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/06/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/07/2024,False
Pinnacle Canyon Apartments,"Tucson, AZ",18108,2x2,1048,2000,09/08/2024,False
